max_leaf_nodes,max_depth,test_score,train_score,fit_time,train_minus_test
26,19,0.887,0.887,2.707,0.001
26,18,0.887,0.887,2.916,0.001
26,17,0.887,0.887,3.014,0.001
26,16,0.887,0.887,2.393,0.001
26,15,0.887,0.887,2.343,0.001
25,16,0.886,0.887,2.305,0.001
25,19,0.886,0.887,2.271,0.001
25,18,0.886,0.887,2.293,0.001
25,17,0.886,0.887,2.289,0.001
25,15,0.886,0.887,2.306,0.001
24,19,0.886,0.886,2.24,0.001
24,18,0.886,0.886,2.242,0.001
24,17,0.886,0.886,2.245,0.001
24,16,0.886,0.886,2.23,0.001
24,15,0.886,0.886,2.256,0.001
23,16,0.885,0.886,2.571,0.001
23,19,0.885,0.886,2.223,0.001
23,18,0.885,0.886,2.08,0.001
23,17,0.885,0.886,2.466,0.001
23,15,0.885,0.886,2.679,0.001
