,test_score,fit_time,model
0,0.887,2.707,Decision Tree
1,0.887,2.9160000000000004,Decision Tree
2,0.887,3.014,Decision Tree
3,0.887,2.3930000000000002,Decision Tree
4,0.887,2.343,Decision Tree
5,0.8859999999999999,2.305,Decision Tree
6,0.8859999999999999,2.271,Decision Tree
7,0.8859999999999999,2.293,Decision Tree
8,0.8859999999999999,2.289,Decision Tree
9,0.8859999999999999,2.306,Decision Tree
10,0.8859999999999999,2.24,Decision Tree
11,0.8859999999999999,2.242,Decision Tree
12,0.8859999999999999,2.245,Decision Tree
13,0.8859999999999999,2.23,Decision Tree
14,0.8859999999999999,2.256,Decision Tree
15,0.885,2.571,Decision Tree
16,0.885,2.2230000000000003,Decision Tree
17,0.885,2.08,Decision Tree
18,0.885,2.4659999999999997,Decision Tree
19,0.885,2.679,Decision Tree
0,0.884,69.918,Random Forest
1,0.884,60.816,Random Forest
2,0.884,60.324,Random Forest
3,0.884,69.39699999999999,Random Forest
4,0.884,59.617,Random Forest
5,0.884,44.718999999999994,Random Forest
6,0.884,60.056999999999995,Random Forest
7,0.884,48.192,Random Forest
8,0.884,45.531000000000006,Random Forest
9,0.858,52.55,Random Forest
10,0.858,46.933,Random Forest
11,0.858,45.121,Random Forest
12,0.857,65.157,Random Forest
13,0.857,43.992,Random Forest
14,0.857,38.365,Random Forest
15,0.857,38.63,Random Forest
16,0.857,37.678000000000004,Random Forest
17,0.857,33.719,Random Forest
0,0.889,55.145,AdaBoost
1,0.889,58.07,AdaBoost
2,0.889,53.172,AdaBoost
3,0.889,70.444,AdaBoost
4,0.889,54.589,AdaBoost
5,0.889,56.059,AdaBoost
6,0.889,58.918,AdaBoost
7,0.889,55.098,AdaBoost
8,0.889,60.526,AdaBoost
9,0.889,68.171,AdaBoost
10,0.889,64.577,AdaBoost
11,0.889,53.208,AdaBoost
12,0.889,50.63399999999999,AdaBoost
13,0.889,57.312,AdaBoost
14,0.889,62.019,AdaBoost
15,0.88,41.355,AdaBoost
16,0.88,48.623999999999995,AdaBoost
17,0.88,43.975,AdaBoost
18,0.88,45.408,AdaBoost
19,0.88,42.972,AdaBoost
20,0.88,51.631,AdaBoost
21,0.88,51.888000000000005,AdaBoost
22,0.88,44.336999999999996,AdaBoost
23,0.88,44.321999999999996,AdaBoost
24,0.88,54.339,AdaBoost
25,0.88,52.699,AdaBoost
26,0.88,48.61,AdaBoost
27,0.88,39.506,AdaBoost
28,0.88,73.78699999999999,AdaBoost
29,0.88,60.843,AdaBoost
