max_leaf_nodes,max_depth,test_score,train_score,train_minus_test
19,9,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,10,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,11,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,12,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,13,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,14,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,15,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,16,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,17,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,18,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,19,0.8981078715289812,0.8986995527567936,0.0005916812278123906
20,3,0.8490414755930491,0.8494205853960326,0.0003791098029835016
20,4,0.8911306087481874,0.8916486588899646,0.0005180501417771932
20,5,0.8985674073192069,0.8992253531752805,0.000657945856073594
20,6,0.8995580629657507,0.900162532710232,0.0006044697444813618
20,7,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,8,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,9,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,10,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,11,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,12,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,13,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,14,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,15,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,16,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,17,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,18,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,19,0.8995737502712877,0.9001713254133813,0.000597575142093576
21,3,0.8490414755930491,0.8494205853960326,0.0003791098029835016
21,4,0.8911306087481874,0.8916486588899646,0.0005180501417771932
21,5,0.8999100010868253,0.9005624315605243,0.0006524304736990061
21,6,0.9009137720114765,0.901583252424736,0.0006694804132595378
21,7,0.9009675310031208,0.9016051812226349,0.0006376502195141187
21,8,0.9009675310031208,0.9016051812226349,0.0006376502195141187
21,9,0.9009675310031208,0.9016051812226349,0.0006376502195141187
21,10,0.9009675310031208,0.9016051812226349,0.0006376502195141187
21,11,0.9009675310031208,0.9016051812226349,0.0006376502195141187
21,12,0.9009675310031208,0.9016051812226349,0.0006376502195141187
21,13,0.9009675310031208,0.9016051812226349,0.0006376502195141187
21,14,0.9009675310031208,0.9016051812226349,0.0006376502195141187
21,15,0.9009675310031208,0.9016051812226349,0.0006376502195141187
21,16,0.9009675310031208,0.9016051812226349,0.0006376502195141187
21,17,0.9009675310031208,0.9016051812226349,0.0006376502195141187
21,18,0.9009675310031208,0.9016051812226349,0.0006376502195141187
21,19,0.9009675310031208,0.9016051812226349,0.0006376502195141187
22,3,0.8490414755930491,0.8494205853960326,0.0003791098029835016
22,4,0.8911306087481874,0.8916486588899646,0.0005180501417771932
22,5,0.901315172807025,0.9017973878956911,0.00048221508866608254
22,6,0.9022563657790947,0.9029203308099797,0.0006639650308849498
22,7,0.9023484792635269,0.903007327713049,0.0006588484495221314
22,8,0.9023484792635269,0.903007327713049,0.0006588484495221314
22,9,0.9023484792635269,0.903007327713049,0.0006588484495221314
22,10,0.9023484792635269,0.903007327713049,0.0006588484495221314
22,11,0.9023484792635269,0.903007327713049,0.0006588484495221314
22,12,0.9023484792635269,0.903007327713049,0.0006588484495221314
22,13,0.9023484792635269,0.903007327713049,0.0006588484495221314
22,14,0.9023484792635269,0.903007327713049,0.0006588484495221314
22,15,0.9023484792635269,0.903007327713049,0.0006588484495221314
22,16,0.9023484792635269,0.903007327713049,0.0006588484495221314
22,17,0.9023484792635269,0.903007327713049,0.0006588484495221314
22,18,0.9023484792635269,0.903007327713049,0.0006588484495221314
22,19,0.9023484792635269,0.903007327713049,0.0006588484495221314
23,3,0.8490414755930491,0.8494205853960326,0.0003791098029835016
23,4,0.8911306087481874,0.8916486588899646,0.0005180501417771932
23,5,0.9025479028964922,0.9029871571635584,0.000439254267066147
23,6,0.9036615374992945,0.9041552871451465,0.0004937496458520263
23,7,0.9036730893196786,0.9043399715594445,0.0006668822397658536
23,8,0.9036730893196786,0.9043399715594445,0.0006668822397658536
23,9,0.9036730893196786,0.9043399715594445,0.0006668822397658536
23,10,0.9036730893196786,0.9043399715594445,0.0006668822397658536
23,11,0.9036730893196786,0.9043399715594445,0.0006668822397658536
23,12,0.9036730893196786,0.9043399715594445,0.0006668822397658536
23,13,0.9036730893196786,0.9043399715594445,0.0006668822397658536
23,14,0.9036730893196786,0.9043399715594445,0.0006668822397658536
23,15,0.9036730893196786,0.9043399715594445,0.0006668822397658536
23,16,0.9036730893196786,0.9043399715594445,0.0006668822397658536
23,17,0.9036730893196786,0.9043399715594445,0.0006668822397658536
23,18,0.9036730893196786,0.9043399715594445,0.0006668822397658536
23,19,0.9036730893196786,0.9043399715594445,0.0006668822397658536
24,3,0.8490414755930491,0.8494205853960326,0.0003791098029835016
24,4,0.8911306087481874,0.8916486588899646,0.0005180501417771932
24,5,0.9036561166328865,0.9040622515755645,0.00040613494267804917
24,6,0.9048942675887617,0.905345056413014,0.0004507888242523128
24,7,0.9050782610398784,0.9055749278946115,0.0004966668547330411
