,max_leaf_nodes,max_depth,model_score
0,2,2,
1,2,3,
2,2,4,
3,2,5,
4,2,6,
5,2,7,
6,2,8,
7,2,9,
8,2,10,
9,2,11,
10,2,12,
11,2,13,
12,2,14,
13,2,15,
14,2,16,
15,2,17,
16,2,18,
17,2,19,
18,3,2,
19,3,3,
20,3,4,
21,3,5,
22,3,6,
23,3,7,
24,3,8,
25,3,9,
26,3,10,
27,3,11,
28,3,12,
29,3,13,
30,3,14,
31,3,15,
32,3,16,
33,3,17,
34,3,18,
35,3,19,
36,4,2,
37,4,3,
38,4,4,
39,4,5,
40,4,6,
41,4,7,
42,4,8,
43,4,9,
44,4,10,
45,4,11,
46,4,12,
47,4,13,
48,4,14,
49,4,15,
50,4,16,
51,4,17,
52,4,18,
53,4,19,
54,5,2,
55,5,3,
56,5,4,
57,5,5,
58,5,6,
59,5,7,
60,5,8,
61,5,9,
62,5,10,
63,5,11,
64,5,12,
65,5,13,
66,5,14,
67,5,15,
68,5,16,
69,5,17,
70,5,18,
71,5,19,
72,6,2,
73,6,3,
74,6,4,
75,6,5,
76,6,6,
77,6,7,
78,6,8,
79,6,9,
80,6,10,
81,6,11,
82,6,12,
83,6,13,
84,6,14,
85,6,15,
86,6,16,
87,6,17,
88,6,18,
89,6,19,
90,7,2,
91,7,3,
92,7,4,
93,7,5,
94,7,6,
95,7,7,
96,7,8,
97,7,9,
98,7,10,
99,7,11,
100,7,12,
101,7,13,
102,7,14,
103,7,15,
104,7,16,
105,7,17,
106,7,18,
107,7,19,
108,8,2,
109,8,3,
110,8,4,
111,8,5,
112,8,6,
113,8,7,
114,8,8,
115,8,9,
116,8,10,
117,8,11,
118,8,12,
119,8,13,
120,8,14,
121,8,15,
122,8,16,
123,8,17,
124,8,18,
125,8,19,
126,9,2,
127,9,3,
128,9,4,
129,9,5,
130,9,6,
131,9,7,
132,9,8,
133,9,9,
134,9,10,
135,9,11,
136,9,12,
137,9,13,
138,9,14,
139,9,15,
140,9,16,
141,9,17,
142,9,18,
143,9,19,
144,10,2,
145,10,3,
146,10,4,
147,10,5,
148,10,6,
149,10,7,
150,10,8,
151,10,9,
152,10,10,
153,10,11,
154,10,12,
155,10,13,
156,10,14,
157,10,15,
158,10,16,
159,10,17,
160,10,18,
161,10,19,
162,11,2,
163,11,3,
164,11,4,
165,11,5,
166,11,6,
167,11,7,
168,11,8,
169,11,9,
170,11,10,
171,11,11,
172,11,12,
173,11,13,
174,11,14,
175,11,15,
176,11,16,
177,11,17,
178,11,18,
179,11,19,
180,12,2,
181,12,3,
182,12,4,
183,12,5,
184,12,6,
185,12,7,
186,12,8,
187,12,9,
188,12,10,
189,12,11,
190,12,12,
191,12,13,
192,12,14,
193,12,15,
194,12,16,
195,12,17,
196,12,18,
197,12,19,
198,13,2,
199,13,3,
200,13,4,
201,13,5,
202,13,6,
203,13,7,
204,13,8,
205,13,9,
206,13,10,
207,13,11,
208,13,12,
209,13,13,
210,13,14,
211,13,15,
212,13,16,
213,13,17,
214,13,18,
215,13,19,
216,14,2,
217,14,3,
218,14,4,
219,14,5,
220,14,6,
221,14,7,
222,14,8,
223,14,9,
224,14,10,
225,14,11,
226,14,12,
227,14,13,
228,14,14,
229,14,15,
230,14,16,
231,14,17,
232,14,18,
233,14,19,
234,15,2,
235,15,3,
236,15,4,
237,15,5,
238,15,6,
239,15,7,
240,15,8,
241,15,9,
242,15,10,
243,15,11,
244,15,12,
245,15,13,
246,15,14,
247,15,15,
248,15,16,
249,15,17,
250,15,18,
251,15,19,
252,16,2,
253,16,3,
254,16,4,
255,16,5,
256,16,6,
257,16,7,
258,16,8,
259,16,9,
260,16,10,
261,16,11,
262,16,12,
263,16,13,
264,16,14,
265,16,15,
266,16,16,
267,16,17,
268,16,18,
269,16,19,
270,17,2,
271,17,3,
272,17,4,
273,17,5,
274,17,6,
275,17,7,
276,17,8,
277,17,9,
278,17,10,
279,17,11,
280,17,12,
281,17,13,
282,17,14,
283,17,15,
284,17,16,
285,17,17,
286,17,18,
287,17,19,
288,18,2,
289,18,3,
290,18,4,
291,18,5,
292,18,6,
293,18,7,
294,18,8,
295,18,9,
296,18,10,
297,18,11,
298,18,12,
299,18,13,
300,18,14,
301,18,15,
302,18,16,
303,18,17,
304,18,18,
305,18,19,
306,19,2,
307,19,3,
308,19,4,
309,19,5,
310,19,6,
311,19,7,
312,19,8,
313,19,9,
314,19,10,
315,19,11,
316,19,12,
317,19,13,
318,19,14,
319,19,15,
320,19,16,
321,19,17,
322,19,18,
323,19,19,
